名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
,同上,-,22番線,22,,22,,,,,,
,同上,-,23番線,23,,23,,,,,,
誘導信号機,同上,-,21番線,21,41LZ,21,,,,,,
,同上,-,22番線,22,,22,,,,,,
,同上,-,23番線,23,,23,,,,,,
入換信号機,76T,-,21番線,21,42L,21,,,,,,
,同上,-,22番線,22,,22,,,,,,
,同上,-,23番線,23,,23,,,,,,
誘導信号機,同上,-,21番線,21,42LZ,21,,,,,,
,同上,-,22番線,22,,22,,,,,,
,同上,-,23番線,23,,23,,,,,,
入換信号機,70T,-,27番線,27,43R,27,,,,,,
,同上,-,28番線,28,,28,,,,,,
,同上,-,29番線,29,,29,,,,,,
,同上,-,30番線,30,,30,,,,,,
誘導信号機,70T,-,27番線,27,43RZ,27,,,,,,
,同上,-,28番線,28,,28,,,,,,
,同上,-,29番線,29,,29,,,,,,
,同上,-,30番線,30,,30,,,,,,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,1R 2R 3L 4L 5L 11R 12L 13R 14R 15L 16L,,,,,
転てつ器,（　２　動　）,,,,51,,,,51ｲT 51ﾛT,,,
同上,（　２　動　）,,,,52,,,,52T 53T,,,
同上,（　２　動　）,,,,53,,,,52T 53T,,,
同上,（　２　動　）,,,,54,,,,54T 55T,,,
同上,（　２　動　）,,,,55,,,,54T 55T,,,
同上,（　２　動　）,,,,56,,,,56T 57T,,,
同上,（　２　動　）,,,,57,,,,56T 57T,,,
同上,,,,,61,,,,61T,,,
同上,,,,,62,,,,61T,,,
同上,,,,,63,,,,61T,,,
同上,,,,,64,,,,61T,,,
同上,,,,,65,,,,61T,,,
同上,,,,,66,,,,61T,,,
同上,,,,,67,,,,61T,,,
同上,,,,,68,,,,61T,,,
同上,,,,,69,,,,69T,,,
同上,（　２　動　）,,,,70,,,,70T 71T,,,
同上,（　２　動　）,,,,71,,,,70T 71T,,,
同上,,,,,72,,,,72T,,,
同上,,,,,73,,,,73T,,,
同上,,,,,74,,,,74T,,,
同上,,,,,75,,,,74T,,,
同上,,,,,76,,,,76T,,,
同上,,,,,77,,,,76T,,,
同上,,,,,78,,,,76T,,,
