,同上,-,44T,,,SD, 50 (49)(48) 47  46,10R 24R 24RZ 28L 28LZ 31LD 31LZD,XT 50ｲT 49T 47T 48T 44T,(XT 50ｲT)(49T 47T 48T)(44T),,
方向てこ,藤江駅,-,当　駅,,14,L,[[｢11L｣]],DF2T DF1T,{[[((12L)) 又は ((13L))]] 但 99N},,,
,当　駅,-,藤江駅,,,R,[[(11R)]],DF1T DF2T,{((7R))又は((8R))又は((9R))又は((10R)) 但 99N},,,
入換信号機,1番線,-,XT,X,21R,X, 49  50,2R 7R 21RZ 31L,49T 50ｲT XT,(49T)(50ｲT),2RT,((30秒))
,同上,-,YT,Y,,Y, 49 (50),2R 21RZ 32L 32LZ,49T 50ｲT 50ﾛT YT,(49T)(50ｲT 50ﾛT),,
誘導信号機,同上,-,XT,X,21RZ,X, 49  50,2R 7R 21R 31L,49T 50ｲT,(49T)(50ｲT),,((30秒))
,同上,-,YT,Y,,Y, 49 (50),2R 32L 21R 32LZ,49T 50ｲT 50ﾛT,(49T)(50ｲT 50ﾛT),,
入換信号機,2番線,-,XT,X,22R,X,(45) 47  48 (49) 50,3R 3RZ 8R 22RZ 31L 31LZ,45T 47T 49T 50ｲT XT,(45T)(47T 49T)(50ｲT),3RT,((30秒))
,同上,-,YT,Y,,Y,(45) 47  48 (49)(50),3R 3RZ 8R 22RZ 32L 32LZ,45T 47T 49T 50ｲT 50ﾛT YT ,(45T)(47T 49T)(50ｲT 50ﾛT),,
,同上,-,ET,E,,E,(45)(47) 48  50,3R 3RZ 8R 22RZ 29L 29LZ 32L 32LZ,45T 47T 48T ET 50ﾛT,(45T)(47T 48T),,
誘導信号機,同上,-,XT,X,22RZ,X,(45) 47  48 (49) 50,3R 3RZ 8R 22R 31L 31LZ,45T 47T 49T 50ｲT,(45T)(47T 49T)(50ｲT),,((30秒))
,同上,-,YT,Y,,Y,(45) 47  48 (49)(50),3R 3RZ 8R 22R 32L 32LZ,45T 47T 49T 50ｲT 50ﾛT,(45T)(47T 49T)(50ｲT 50ﾛT),,
入換信号機,3番線,-,XT,X,23R,X, 45  47  48 (49) 50,4R 4RZ 5L 9R 11L 11LZ 23RZ 27L 27LZ 31L 31LZ,45T 47T 49T 50ｲT XT,(45T)(47T 49T)(50ｲT),11LT,((30秒))
,同上,-,YT,Y,,Y, 45  47  48 (49)(50),4R 4RZ 5L 9R 11L 11LZ 23RZ 27L 27LZ 32L 32LZ,45T 47T 49T 50ｲT 50ﾛT YT ,(45T)(47T 49T)(50ｲT 50ﾛT),,
,同上,-,ET,E,,E, 45 (47) 48 ,4R 4RZ 5L 9R 11L 11LZ 23RZ 27L 27LZ 29L 29LZ 32L 32LZ,45T 47T 48T ET 50ﾛT,(45T)(47T 48T),,
誘導信号機,同上,-,XT,X,23RZ,X, 45  47  48 (49) 50,4R 4RZ 5L 9R 11L 11LZ 23R 27L 27LZ 31L 31LZ,45T 47T 49T 50ｲT,(45T)(47T 49T)(50ｲT),,((30秒))
,同上,-,YT,Y,,Y, 45  47  48 (49)(50),4R 4RZ 5L 9R 11L 11LZ 23R 27L 27LZ 32L 32LZ,45T 47T 49T 50ｲT 50ﾛT,(45T)(47T 49T)(50ｲT 50ﾛT),,
入換信号機,4番線,-,XT,X,24R,X, 46 (48) 47 (49) 50,6L 10R 12L 12LZ 24RZ 28L 28LZ 31LSC 31LZSC,44T 48T 47T 49T 50ｲT XT,(44T)(48T 47T 49T)(50ｲT),12LT,((30秒))
,同上,-,YT,Y,,Y, 46 (48) 47 (49)(50),6L 10R 12L 12LZ 24RZ 28L 28LZ 32LSC 32LZSC,44T 48T 47T 49T 50ｲT 50ﾛT YT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
,同上,-,ET,E,,E, 46  48  47  50,6L 10R 12L 12LZ 24RZ 28L 28LZ 29LSC 29LZSC 32LSC 32LZSC,44T 48T ET 50ﾛT,(44T)(48T),,
誘導信号機,同上,-,XT,X,24RZ,X, 46 (48) 47 (49) 50,6L 10R 12L 12LZ 24R 28L 28LZ 31LSC 31LZSC,44T 48T 47T 49T 50ｲT,(44T)(48T 47T 49T)(50ｲT),,((30秒))
,同上,-,YT,Y,,Y, 46 (48) 47 (49)(50),6L 10R 12L 12LZ 24R 28L 28LZ 32LSC 32LZSC,44T 48T 47T 49T 50ｲT 50ﾛT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
入換信号機,5番線,-,XT,X,25R,X, 44 (46)(48) 47 (49) 50,25RZ 31L6 31LZ6,44T 48T 47T 49T 50ｲT XT,(44T)(48T 47T 49T)(50ｲT),5T,((30秒))
,同上,-,YT,Y,,Y, 44 (46)(48) 47 (49)(50),25RZ 32L6 32LZ6,44T 48T 47T 49T 50ｲT 50ﾛT YT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
,同上,-,ET,E,,E, 44 (46) 48  47  50,25RZ 29L6 29LZ6 32LE 32LZE,44T 48T ET 50ﾛT,(44T)(48T),,
誘導信号機,同上,-,XT,X,25RZ,X, 44 (46)(48) 47 (49) 50,25R 31L6 31LZ6,44T 48T 47T 49T 50ｲT,(44T)(48T 47T 49T)(50ｲT),,
,同上,-,YT,Y,,Y, 44 (46)(48) 47 (49)(50),25R 32L6 32LZ6,44T 48T 47T 49T 50ｲT 50ﾛT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
入換信号機,6番線,-,XT,X,26R,X,(44)(46)(48) 47 (49) 50,26RZ 31L6 31LZ6,44T 48T 47T 49T 50ｲT XT,(44T)(48T 47T 49T)(50ｲT),6T,((30秒))
,同上,-,YT,Y,,Y,(44)(46)(48) 47 (49)(50),26RZ 32L6 32LZ6,44T 48T 47T 49T 50ｲT 50ﾛT YT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
,同上,-,ET,E,,E,(44)(46) 48  47  50,26RZ 29L6 29LZ6 32L 32LZ,44T 48T ET 50ﾛT,(44T)(48T),,
誘導信号機,同上,-,XT,X,26RZ,X,(44)(46)(48) 47 (49) 50,26R 31L6 31LZ6,44T 48T 47T 49T 50ｲT,(44T)(48T 47T 49T)(50ｲT),,((30秒))
,同上,-,YT,Y,,Y,(44)(46)(48) 47 (49)(50),26R 32L6 32LZ6,44T 48T 47T 49T 50ｲT 50ﾛT,(44T)(48T 47T 49T)(50ｲT 50ﾛT),,
名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
入換信号機,45T,-,3番線,,27L,(C),,4R 4RZ 5L 9R 11L 11LZ 23R 23RZ 27LZ,11LT                   ((29LC))((31LC))((32LC)),,{48T 但(47)}{49T 但(49)} 47T 45T,((30秒))
誘導信号機,同上,-,同上,,27LZ,(C),,4R 4RZ 5L 9R 11L 11LZ 23R 23RZ 27L,,,,((30秒))
入換信号機,44T,-,4番線,,28L,(D),,6L 10R 12L 12LZ 24R 24RZ 28LZ,12LT                   ((29LD))((31LD))((32LD)),,{47T 但(48)}{49T 但(49)} 48T 44T,((30秒))
誘導信号機,同上,-,同上,,28LZ,(D),,6L 10R 12L 12LZ 24R 24RZ 28L,,,,((30秒))
入換信号機,ET,-,2番線,2,29L,B,(47) 48 (45),3R 3RZ 22RE 22RZE 29LZ 30R 30RZ 32LZE,48T 47T 45T 3RT,(48T 47T)(45T),{YT 但(32LE)}{50ﾛT 但50} ET,((30秒))
,同上,-,45T,3,,SC,(47) 48  45,4R 4RZ 23RE 23RZE 29LZ 30R 30RZ 32LZE,48T 47T 45T,(48T 47T)(45T),,
,同上,-,44T,4,,SD, 47  48  46,24RE 24RZE 29LZ 30R 30RZ 32LZE,48T 44T,(48T)(44T),,
,同上,-,5番線,5,,5, 47  48 (46) 44,25RE 25RZE 32LZE,48T 44T 5T,(48T)(44T),,
,同上,-,6番線,6,,6, 47  48 (46)(44),26RE 26RZE 32LZE,48T 44T 6T,(48T)(44T),,
誘導信号機,同上,-,2番線,2,29LZ,B,(47) 48 (45),3R 3RZ 22RE 22RZE 29L 30R 30RZ 32LZE,48T 47T 45T 3RT,(48T 47T)(45T),,((30秒))
,同上,-,5番線,5,,5, 47  48 (46) 44,25RE 25RZE 32LZE,48T 44T,(48T)(44T),,
,同上,-,6番線,6,,6, 47  48 (46)(44),26RE 26RZE 32LZE,48T 44T,(48T)(44T),,
入換信号機,ET,-,YT,,30R,(Y), 50,29L 29LZ 30RZ 32L 32LZ,50ﾛT YT,(50ﾛT),{45T 47T 但(47) 48}{44T 但47 48} {48T 但ET} ET,((30秒))
誘導信号機,同上,-,同上,,30RZ,(Y),,29L 29LZ 30R 32L 32LZ,,,,((30秒))
入換信号機,XT,-,1番線,1,31L,A, 50  49,2R 2RZ 7R 21RX 21RZX 31LZ,50ｲT 49T 2RT,(50ｲT)(49T),XT,((30秒))
,同上,-,2番線,2,,B, 50 (49) 48  47 (45),3R 3RZ 8R 22RX 22RZX 31LZ,50ｲT 49T 47T 45T 3RT,(50ｲT)(49T 47T)(45T),,
,同上,-,45T,3,,SC, 50 (49) 48  47  45,4R 4RZ 9R 11L 11LZ 23RX 23RZX 27LZ 31LZ,50ｲT 49T 47T 45T,(50ｲT)(49T 47T),,
,同上,-,44T,4,,SD, 50 (49)(48) 47  46,10R 12L 12LZ 24RX 24RZX 28LZ 31LZ,50ｲT 49T 47T 48T 44T,(50ｲT)(49T 47T 48T),,
,同上,-,5番線,5,,5, 50 (49)(48) 47 (46) 44,25RX 25RZX 31LZ,50ｲT 49T 47T 48T 44T 5T,(50ｲT)(49T 47T 48T)(44T),,
,同上,-,6番線,6,,6, 50 (49)(48) 47 (46)(44),26RX 26RZX 31LZ,50ｲT 49T 47T 48T 44T 6T,(50ｲT)(49T 47T 48T)(44T),,
誘導信号機,同上,-,1番線,1,31LZ,A, 50  49,2R 2RZ 7R 21RX 21RZX 31L,50ｲT 49T,(50ｲT)(49T),,((30秒))
,同上,-,2番線,2,,B, 50 (49) 48  47 (45),3R 3RZ 8R 22RX 22RZX 31L,50ｲT 49T 47T 45T,(50ｲT)(49T 47T)(45T),,
,同上,-,5番線,5,,5, 50 (49)(48) 47 (46) 44,25RX 25RZX 31L,50ｲT 49T 47T 48T 44T,(50ｲT)(49T 47T 48T)(44T),,
,同上,-,6番線,6,,6, 50 (49)(48) 47 (46)(44),26RX 26RZX 31L,50ｲT 49T 47T 48T 44T,(50ｲT)(49T 47T 48T)(44T),,
入換信号機,YT,-,1番線,1,32L,A,(50) 49,2R 2RZ 21RY 21RZY 32LZ,50ﾛT 50ｲT 49T 2RT,(50ﾛT 50ｲT)(49T),YT,((30秒))
,同上,-,2番線,2,,B,(50)(49) 48  47 (45),3R 3RZ 22RY 22RZY 32LZ,50ﾛT 50ｲT 49T 47T 45T 3RT,(50ﾛT 50ｲT)(49T 47T),,
,同上,-,45T,3,,SC,(50)(49) 48  47  45,4R 4RZ 9R 11L 11LZ 23RY 23RZY 27LZ 32LZ,50ﾛT 50ｲT 49T 47T 45T,(50ﾛT 50ｲT)(49T 47T)(45T),,
,同上,-,44T,4,,SD,(50)(49)(48) 47  46,10R 12L 12LZ 24RY 24RZY 28LZ 32LZ,50ﾛT 50ｲT 49T 47T 48T 44T,(50ﾛT 50ｲT)(49T 47T 48T)(44T),,
,同上,-,ET,E,,E, 50  48,22RE 23RE 24RE 25RE 26RE 29LZ 30R 32LZ,50ﾛT ET 48T,(50ﾛT),,
,同上,-,5番線,5,,5,(50)(49)(48) 47 (46) 44,25R 25RZ 32LZ,50ﾛT 50ｲT 49T 47T 48T 44T 5T,(50ﾛT 50ｲT)(49T 47T 48T)(44T),,
,同上,-,6番線,6,,6,(50)(49)(48) 47 (46)(44),26R 26RZ 32LZ,50ﾛT 50ｲT 49T 47T 48T 44T 6T,(50ﾛT 50ｲT)(49T 47T 48T)(44T),,
誘導信号機,同上,-,1番線,1,32LZ,A,(50) 49,2R 2RZ 21RY 21RZY 32L,50ﾛT 50ｲT 49T 2RT,(50ﾛT 50ｲT)(49T),,((30秒))
,同上,-,2番線,2,,B,(50)(49) 48  47 (45),3R 3RZ 22RY 22RZY 32L,50ﾛT 50ｲT 49T 47T 45T 3RT,(50ﾛT 50ｲT)(49T 47T),,
,同上,-,5番線,5,,5,(50)(49)(48) 47 (46) 44,25R 25RZ 32L,50ﾛT 50ｲT 49T 47T 48T 44T 5T,(50ﾛT 50ｲT)(49T 47T 48T)(44T),,
,同上,-,6番線,6,,6,(50)(49)(48) 47 (46)(44),26R 26RZ 32L,50ﾛT 50ｲT 49T 47T 48T 44T 6T,(50ﾛT 50ｲT)(49T 47T 48T)(44T),,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,1R 2R 2RZ 3R 3RZ 4R 4RZ 5L 6L 7R 8R 9R 10R 11L 11LZ 12L 12LZ 13L21R 21RZ 22R 22RZ 23R 23RZ 24R 24RZ 25R 25RZ 26R 26RZ 27L 27LZ 28L 28LZ 29L 29LZ 30R 30RZ 31L 31LZ 32L 32LZ,,,,,
開放てこ（新大路方）,集　　中,,,,99,N,,,,,,
,駅　　扱,,,,,R,,,,,,
転てつ器,,,,,41,,,,41T,,,
同上,（　２　動　）,,,,42,,,,42ｲT 42ﾛT,,,
同上,,,,,43,,,,41T,,,
同上,,,,,44,,,,44T,,,
同上,,,,,45,,,,45T,,,
同上,,,,,46,,,,44T,,,
同上,（　２　動　）,,,,47,,,,47T 48T,,,
同上,（　２　動　）,,,,48,,,,47T 48T,,,
同上,,,,,49,,,,49T,,,
同上,（　２　動　）,,,,50,,,,50ｲT 50ﾛT,,,
