DB名,何灯式,次の信号機のDB名1,次の信号機のDB名2,次の信号機のDB名3,次の信号機のDB名4,次の信号機のDB名5,,対応進路名1,対応進路名2,対応進路名3,対応進路名4,対応進路名5,対応進路名6,対応進路名7,対応進路名8,対応進路名9,対応進路名10,対応進路名11,,対応方向進路名1,対応方向進路名2,向き,防護区間軌道回路
赤山町下り出発4L,3灯式,下り閉塞277,なし,なし,なし,なし,,TH58_4L,,,,,,,,,,,,,,なし,なし
赤山町下り出発5L,3灯式,下り閉塞277,なし,なし,なし,なし,,TH58_5L,,,,,,,,,,,,,,なし,なし
赤山町下り場内9L,4灯YG式,赤山町下り出発3L,赤山町下り出発4L,赤山町下り出発5L,なし,なし,,TH58_9LA,TH58_9LB,TH58_9LC,,,,,,,,,,,,なし,なし
赤山町入換31R,入換信号機,なし,なし,なし,なし,なし,,TH58_31RD,TH58_31RE,,,,,,,,,,,,,なし,なし
赤山町入換32L,入換信号機,なし,なし,なし,なし,なし,,TH58_32L,,,,,,,,,,,,,,なし,なし
赤山町入換33L,入換信号機,なし,なし,なし,なし,なし,,TH58_33L,,,,,,,,,,,,,,なし,なし
館浜上り出発1R,4灯YG式,上り閉塞6,なし,なし,なし,なし,,TH76_1R,,,,,,,,,,,,,,なし,なし
館浜上り出発2R,4灯YG式,上り閉塞6,なし,なし,なし,なし,,TH76_2R,,,,,,,,,,,,,,なし,なし
館浜上り出発3R,4灯YG式,上り閉塞6,なし,なし,なし,なし,,TH76_3R,,,,,,,,,,,,,,なし,なし
館浜上り出発4R,4灯YG式,上り閉塞6,なし,なし,なし,なし,,TH76_4R,,,,,,,,,,,,,,なし,なし
館浜下り場内5L,2灯式,なし,なし,なし,なし,なし,,TH76_5LA,TH76_5LB,TH76_5LC,TH76_5LD,,,,,,,,,,,なし,なし
館浜下り場内5L中継2,中継（灯列）,館浜下り場内5L,なし,なし,なし,なし,,TH76_5LA,TH76_5LB,TH76_5LC,TH76_5LD,,,,,,,,,,,なし,なし
駒野上り出発7R,4灯YG式,上り閉塞26,なし,なし,なし,なし,,TH75_7R,,,,,,,,,,,,,,なし,なし
駒野上り出発8R,4灯YG式,上り閉塞26,なし,なし,なし,なし,,TH75_8R,,,,,,,,,,,,,,なし,なし
駒野上り出発8R中継,中継（灯列）,駒野上り出発8R,なし,なし,なし,なし,,TH75_8R,,,,,,,,,,,,,,なし,なし
駒野上り場内1RD,2灯式,なし,なし,なし,なし,なし,,TH75_1RD5,TH75_1RD6,,,,,,,,,,,,,なし,なし
駒野上り場内1RE,4灯YG式,駒野上り場内5RA,駒野上り場内5RB,なし,なし,なし,,TH75_1RE,,,,,,,,,,,,,,なし,なし
駒野上り場内5RA,2灯式,駒野上り出発7R,なし,なし,なし,なし,,TH75_5RA,,,,,,,,,,,,,,なし,なし
駒野上り場内5RB,4灯YG式,駒野上り出発8R,なし,なし,なし,なし,,TH75_5RB,,,,,,,,,,,,,,なし,なし
駒野下り出発3L,3灯式,下り閉塞9,なし,なし,なし,なし,,TH75_3L,,,,,,,,,,,,,,なし,なし
